p1,p2,p3,event,classical_width,improved_width,width_reduction
0.185,0.68,0.55,or,0.31999999999999995,0.05919999999999992,0.26080000000000003
0.185,0.725,0.55,and,0.185,0.050875000000000004,0.134125
0.185,0.725,0.55,or,0.275,0.05087499999999978,0.22412500000000024
0.185,0.77,0.55,and,0.185,0.042550000000000004,0.14245
0.185,0.77,0.55,or,0.22999999999999998,0.04255000000000009,0.1874499999999999
0.185,0.8150000000000001,0.55,and,0.185,0.03422499999999998,0.15077500000000002
0.185,0.8150000000000001,0.55,or,0.18499999999999994,0.03422499999999995,0.150775
0.185,0.86,0.55,and,0.185,0.025900000000000006,0.1591
0.185,0.86,0.55,or,0.14,0.025900000000000034,0.11409999999999998
0.185,0.905,0.55,and,0.185,0.017575000000000007,0.167425
0.185,0.905,0.55,or,0.09499999999999997,0.01757500000000012,0.07742499999999986
0.185,0.95,0.55,and,0.185,0.009250000000000008,0.17575
0.185,0.95,0.55,or,0.050000000000000044,0.00924999999999998,0.040750000000000064
0.22999999999999998,0.05,0.55,and,0.05,0.0115,0.038500000000000006
0.22999999999999998,0.05,0.55,or,0.28,0.011500000000000066,0.26849999999999996
0.22999999999999998,0.095,0.55,and,0.095,0.021849999999999998,0.07315
0.22999999999999998,0.095,0.55,or,0.32499999999999996,0.021850000000000036,0.3031499999999999
0.22999999999999998,0.14,0.55,and,0.14,0.0322,0.1078
0.22999999999999998,0.14,0.55,or,0.37,0.032200000000000006,0.3378
0.22999999999999998,0.185,0.55,and,0.185,0.04255,0.14245
0.22999999999999998,0.185,0.55,or,0.41500000000000004,0.04254999999999998,0.37245000000000006
0.22999999999999998,0.22999999999999998,0.55,and,0.22999999999999998,0.05289999999999999,0.17709999999999998
0.22999999999999998,0.22999999999999998,0.55,or,0.44999999999999996,0.052899999999999836,0.3971000000000001
0.22999999999999998,0.27499999999999997,0.55,and,0.22999999999999998,0.06324999999999999,0.16675
0.22999999999999998,0.27499999999999997,0.55,or,0.44999999999999996,0.06325000000000003,0.3867499999999999
0.22999999999999998,0.32,0.55,and,0.22999999999999998,0.0736,0.15639999999999998
0.22999999999999998,0.32,0.55,or,0.44999999999999996,0.0736,0.37639999999999996
0.22999999999999998,0.365,0.55,and,0.22999999999999998,0.08395,0.14604999999999999
0.22999999999999998,0.365,0.55,or,0.44999999999999996,0.08394999999999986,0.3660500000000001
0.22999999999999998,0.41,0.55,and,0.22999999999999998,0.09429999999999998,0.1357
0.22999999999999998,0.41,0.55,or,0.44999999999999996,0.09429999999999994,0.3557
0.22999999999999998,0.45499999999999996,0.55,and,0.22999999999999998,0.1035,0.1265
0.22999999999999998,0.45499999999999996,0.55,or,0.44999999999999996,0.10350000000000015,0.3464999999999998
0.22999999999999998,0.49999999999999994,0.55,and,0.22999999999999998,0.10349999999999998,0.1265
0.22999999999999998,0.49999999999999994,0.55,or,0.44999999999999996,0.10349999999999993,0.34650000000000003
0.22999999999999998,0.545,0.55,and,0.22999999999999998,0.10349999999999998,0.1265
0.22999999999999998,0.545,0.55,or,0.44999999999999996,0.10350000000000004,0.3464999999999999
0.22999999999999998,0.5900000000000001,0.55,and,0.22999999999999998,0.0943,0.1357
0.22999999999999998,0.5900000000000001,0.55,or,0.4099999999999999,0.09430000000000005,0.31569999999999987
0.22999999999999998,0.635,0.55,and,0.22999999999999998,0.08395,0.14604999999999999
0.22999999999999998,0.635,0.55,or,0.365,0.08394999999999986,0.28105000000000013
0.22999999999999998,0.68,0.55,and,0.22999999999999998,0.07359999999999997,0.1564
0.22999999999999998,0.68,0.55,or,0.31999999999999995,0.07360000000000011,0.24639999999999984
0.22999999999999998,0.725,0.55,and,0.22999999999999998,0.06325,0.16674999999999998
0.22999999999999998,0.725,0.55,or,0.275,0.06325000000000014,0.21174999999999988
0.22999999999999998,0.77,0.55,and,0.22999999999999998,0.0529,0.17709999999999998
0.22999999999999998,0.77,0.55,or,0.22999999999999998,0.05289999999999995,0.17710000000000004
0.22999999999999998,0.8150000000000001,0.55,and,0.22999999999999998,0.04254999999999998,0.18745
0.22999999999999998,0.8150000000000001,0.55,or,0.18499999999999994,0.04255000000000009,0.14244999999999985
0.22999999999999998,0.86,0.55,and,0.22999999999999998,0.032200000000000006,0.19779999999999998
0.22999999999999998,0.86,0.55,or,0.14,0.03220000000000023,0.10779999999999978
0.22999999999999998,0.905,0.55,and,0.22999999999999998,0.02184999999999998,0.20815
0.22999999999999998,0.905,0.55,or,0.09499999999999997,0.021849999999999814,0.07315000000000016
0.22999999999999998,0.95,0.55,and,0.22999999999999998,0.01150000000000001,0.21849999999999997
0.22999999999999998,0.95,0.55,or,0.050000000000000044,0.011499999999999955,0.03850000000000009
0.27499999999999997,0.05,0.55,and,0.05,0.013749999999999998,0.036250000000000004
0.27499999999999997,0.05,0.55,or,0.32499999999999996,0.013749999999999818,0.31125000000000014
0.27499999999999997,0.095,0.55,and,0.095,0.026124999999999995,0.068875
0.27499999999999997,0.095,0.55,or,0.37,0.026125000000000176,0.3438749999999998
0.27499999999999997,0.14,0.55,and,0.14,0.0385,0.1015
0.27499999999999997,0.14,0.55,or,0.41500000000000004,0.03849999999999998,0.37650000000000006
0.27499999999999997,0.185,0.55,and,0.185,0.050875,0.134125
0.27499999999999997,0.185,0.55,or,0.44999999999999996,0.050875000000000004,0.39912499999999995
0.27499999999999997,0.22999999999999998,0.55,and,0.22999999999999998,0.06324999999999999,0.16675
0.27499999999999997,0.22999999999999998,0.55,or,0.44999999999999996,0.06325000000000003,0.3867499999999999
0.27499999999999997,0.27499999999999997,0.55,and,0.27499999999999997,0.07562499999999998,0.19937499999999997
0.27499999999999997,0.27499999999999997,0.55,or,0.44999999999999996,0.07562499999999983,0.3743750000000001
0.27499999999999997,0.32,0.55,and,0.27499999999999997,0.088,0.18699999999999997
0.27499999999999997,0.32,0.55,or,0.44999999999999996,0.08799999999999997,0.362
0.27499999999999997,0.365,0.55,and,0.27499999999999997,0.10037499999999999,0.17462499999999997
0.27499999999999997,0.365,0.55,or,0.44999999999999996,0.1003750000000001,0.34962499999999985
0.27499999999999997,0.41,0.55,and,0.27499999999999997,0.11274999999999998,0.16225
0.27499999999999997,0.41,0.55,or,0.44999999999999996,0.1127499999999999,0.33725000000000005
0.27499999999999997,0.45499999999999996,0.55,and,0.27499999999999997,0.12374999999999994,0.15125000000000002
0.27499999999999997,0.45499999999999996,0.55,or,0.44999999999999996,0.1237499999999998,0.32625000000000015
0.27499999999999997,0.49999999999999994,0.55,and,0.27499999999999997,0.12374999999999997,0.15125
0.27499999999999997,0.49999999999999994,0.55,or,0.44999999999999996,0.1237499999999998,0.32625000000000015
0.27499999999999997,0.545,0.55,and,0.27499999999999997,0.12374999999999997,0.15125
